'att1','att2','att3','att4','att5','att6','att7','att8','att9','id','outlier'
0.112011,0.425226,0.424364,0.681209,0.748623,0.066976,0.865725,0.020741,0.181869,1.0,'yes'
0.0,0.425226,0.043612,0.086249,0.122159,0.0,0.889814,1.0,0.969187,2.0,'yes'
0.119357,0.425226,0.280526,0.5878,0.696619,0.014433,0.980303,0.367449,0.595861,3.0,'yes'
0.024987,0.425226,0.056383,0.097072,0.130242,0.0018,0.787256,0.284758,0.804989,4.0,'yes'
0.176667,0.425226,0.356267,0.515091,0.555632,0.059072,0.881087,0.006373,0.124229,5.0,'yes'
0.337423,0.272848,0.21809,0.564323,0.687203,0.075768,0.888813,0.001621,0.110962,6.0,'yes'
0.26907,0.353785,0.223255,0.556418,0.660035,0.079813,0.834368,0.002488,0.106672,7.0,'yes'
0.257077,0.28499,0.222039,0.605903,0.765878,0.101583,0.860906,0.001019,0.087724,8.0,'yes'
0.285962,0.249068,0.198803,0.536864,0.631266,0.05859,0.914176,0.002212,0.136102,9.0,'yes'
0.297373,0.278184,0.177849,0.488406,0.639552,0.079686,0.82482,0.002595,0.108272,10.0,'yes'
0.248615,0.556867,0.050519,0.293778,0.618525,0.082937,0.842893,0.002347,0.112497,11.0,'yes'
0.380704,0.646162,0.2108,0.669397,0.850165,0.069547,0.952015,0.003055,0.144705,12.0,'yes'
0.303415,0.425226,0.063908,0.363761,0.738628,0.097983,0.832667,0.002004,0.08898,13.0,'yes'
0.309379,0.636945,0.22798,0.674576,0.850013,0.097417,0.911863,7.57E-4,0.106952,14.0,'yes'
0.186166,0.569312,0.063531,0.353188,0.74806,0.11067,0.822576,0.001566,0.081082,15.0,'yes'
0.272903,0.626006,0.280876,0.797992,0.929297,0.098834,0.932678,0.00305,0.095687,16.0,'yes'
0.223316,0.425226,0.061532,0.34644,0.758095,0.070865,0.879004,0.002364,0.125967,17.0,'yes'
0.306888,0.610657,0.252349,0.734974,0.899233,0.060368,0.959314,0.004408,0.174448,18.0,'yes'
0.205507,0.425226,0.315577,0.325885,0.362638,0.076228,0.306056,0.045912,0.164185,19.0,'yes'
0.259283,0.55079,0.062308,0.343291,0.650035,0.090627,0.802793,0.002681,0.092747,20.0,'yes'
0.301419,0.629173,0.216952,0.620856,0.750236,0.101493,0.88654,6.56E-4,0.098141,21.0,'yes'
0.161471,0.425226,0.283301,0.327988,0.307959,0.116271,0.012706,0.039017,0.096512,22.0,'yes'
0.317443,0.113066,0.114872,0.530859,0.947785,0.083602,0.946035,0.016496,0.216357,23.0,'yes'
0.427038,0.077957,0.121529,0.539617,0.88048,0.10797,0.915387,0.001746,0.138919,24.0,'yes'
0.367135,0.095812,0.134861,0.597404,0.930407,0.124082,0.913069,0.002834,0.105024,25.0,'yes'
0.378282,0.082266,0.104927,0.471542,0.828432,0.089701,0.924927,0.001322,0.136859,26.0,'yes'
0.287911,0.425226,0.120267,0.57602,0.941536,0.09401,0.850689,0.073412,0.313765,27.0,'yes'
0.194043,0.425226,0.14267,0.548291,0.816383,0.125414,0.811123,0.00337,0.096941,28.0,'yes'
0.202888,0.425226,0.108036,0.477078,0.913456,0.098546,0.875793,0.0053,0.08308,29.0,'yes'
0.249951,0.425226,0.139281,0.609276,0.91506,0.079997,0.875734,0.204975,0.494937,30.0,'yes'
