'att2','att3','att4','att5','att6','att7','att8','att9','att10','id','outlier'
10.0,7.0,7.0,4.0,5.0,10.0,5.0,7.0,2.0,161.0,'yes'
5.0,10.0,10.0,3.0,8.0,1.0,5.0,10.0,3.0,178.0,'yes'
8.0,10.0,10.0,8.0,5.0,10.0,7.0,8.0,1.0,247.0,'yes'
5.0,5.0,5.0,2.0,5.0,10.0,4.0,3.0,1.0,317.0,'yes'
10.0,10.0,10.0,10.0,5.0,10.0,10.0,10.0,7.0,681.0,'yes'
10.0,10.0,10.0,8.0,6.0,8.0,7.0,10.0,1.0,191.0,'yes'
9.0,1.0,2.0,6.0,4.0,10.0,7.0,7.0,2.0,300.0,'yes'
10.0,5.0,7.0,3.0,3.0,7.0,3.0,3.0,8.0,280.0,'yes'
1.0,5.0,8.0,6.0,5.0,8.0,7.0,10.0,1.0,187.0,'yes'
5.0,8.0,9.0,4.0,3.0,10.0,7.0,1.0,1.0,492.0,'yes'
5.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,'no'
5.0,4.0,4.0,5.0,7.0,10.0,3.0,2.0,1.0,2.0,'no'
3.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,3.0,'no'
6.0,8.0,8.0,1.0,3.0,4.0,3.0,7.0,1.0,4.0,'no'
4.0,1.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0,5.0,'no'
1.0,1.0,1.0,1.0,2.0,10.0,3.0,1.0,1.0,7.0,'no'
2.0,1.0,2.0,1.0,2.0,1.0,3.0,1.0,1.0,8.0,'no'
2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,5.0,9.0,'no'
4.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,10.0,'no'
1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,11.0,'no'
2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,12.0,'no'
1.0,1.0,1.0,1.0,2.0,3.0,3.0,1.0,1.0,14.0,'no'
4.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,17.0,'no'
4.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,18.0,'no'
6.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,20.0,'no'
3.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,23.0,'no'
1.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,25.0,'no'
3.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,27.0,'no'
5.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,28.0,'no'
1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,30.0,'no'
3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,31.0,'no'
2.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,32.0,'no'
2.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,1.0,34.0,'no'
3.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,35.0,'no'
6.0,2.0,1.0,1.0,1.0,1.0,7.0,1.0,1.0,38.0,'no'
1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,46.0,'no'
1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,48.0,'no'
1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,62.0,'no'
1.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,1.0,70.0,'no'
5.0,1.0,3.0,1.0,2.0,1.0,2.0,1.0,1.0,71.0,'no'
1.0,3.0,3.0,2.0,2.0,1.0,7.0,2.0,1.0,73.0,'no'
1.0,1.0,2.0,1.0,2.0,2.0,4.0,2.0,1.0,76.0,'no'
1.0,1.0,4.0,1.0,2.0,1.0,2.0,1.0,1.0,77.0,'no'
5.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,78.0,'no'
3.0,1.0,1.0,1.0,2.0,3.0,3.0,1.0,1.0,79.0,'no'
2.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,80.0,'no'
2.0,2.0,2.0,1.0,1.0,1.0,7.0,1.0,1.0,81.0,'no'
4.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,82.0,'no'
5.0,2.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,83.0,'no'
3.0,1.0,1.0,1.0,2.0,2.0,7.0,1.0,1.0,84.0,'no'
2.0,1.0,1.0,2.0,3.0,1.0,2.0,1.0,1.0,90.0,'no'
3.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,92.0,'no'
2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,97.0,'no'
4.0,1.0,2.0,1.0,2.0,1.0,3.0,1.0,1.0,103.0,'no'
1.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,1.0,109.0,'no'
1.0,3.0,1.0,2.0,2.0,2.0,5.0,3.0,2.0,111.0,'no'
3.0,3.0,2.0,1.0,2.0,3.0,3.0,1.0,1.0,115.0,'no'
1.0,1.0,1.0,1.0,2.0,5.0,1.0,1.0,1.0,116.0,'no'
8.0,3.0,3.0,1.0,2.0,2.0,3.0,2.0,1.0,117.0,'no'
1.0,1.0,1.0,1.0,4.0,3.0,1.0,1.0,1.0,119.0,'no'
3.0,2.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,120.0,'no'
1.0,1.0,2.0,2.0,2.0,1.0,3.0,1.0,1.0,121.0,'no'
4.0,2.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,122.0,'no'
3.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,128.0,'no'
1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,1.0,130.0,'no'
3.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,134.0,'no'
3.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,135.0,'no'
5.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,1.0,136.0,'no'
3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,138.0,'no'
4.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,139.0,'no'
2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,142.0,'no'
1.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,148.0,'no'
3.0,1.0,1.0,3.0,8.0,1.0,5.0,8.0,1.0,149.0,'no'
4.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,154.0,'no'
1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,155.0,'no'
1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,157.0,'no'
4.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,1.0,162.0,'no'
1.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,7.0,164.0,'no'
4.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,1.0,166.0,'no'
1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,170.0,'no'
2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,186.0,'no'
1.0,2.0,3.0,1.0,2.0,1.0,3.0,1.0,1.0,190.0,'no'
8.0,4.0,4.0,5.0,4.0,7.0,7.0,8.0,2.0,197.0,'no'
5.0,1.0,1.0,4.0,2.0,1.0,3.0,1.0,1.0,198.0,'no'
5.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,210.0,'no'
6.0,1.0,3.0,1.0,2.0,1.0,3.0,1.0,1.0,220.0,'no'
1.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,1.0,221.0,'no'
8.0,4.0,6.0,3.0,3.0,1.0,4.0,3.0,1.0,233.0,'no'
3.0,3.0,2.0,1.0,3.0,1.0,3.0,6.0,1.0,235.0,'no'
5.0,1.0,3.0,3.0,2.0,2.0,2.0,3.0,1.0,241.0,'no'
3.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,242.0,'no'
1.0,1.0,1.0,1.0,2.0,5.0,5.0,1.0,1.0,244.0,'no'
5.0,1.0,1.0,2.0,2.0,2.0,3.0,1.0,1.0,246.0,'no'
4.0,1.0,1.0,1.0,2.0,1.0,3.0,6.0,1.0,249.0,'no'
1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,251.0,'no'
6.0,3.0,3.0,5.0,3.0,10.0,3.0,5.0,3.0,253.0,'no'
5.0,7.0,7.0,1.0,5.0,8.0,3.0,4.0,1.0,260.0,'no'
5.0,1.0,4.0,1.0,2.0,1.0,3.0,2.0,1.0,266.0,'no'
3.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,1.0,275.0,'no'
5.0,3.0,4.0,3.0,4.0,5.0,4.0,7.0,1.0,297.0,'no'
8.0,2.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,299.0,'no'
3.0,1.0,1.0,1.0,2.0,5.0,5.0,1.0,1.0,310.0,'no'
1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,315.0,'no'
1.0,1.0,1.0,1.0,5.0,1.0,3.0,1.0,1.0,319.0,'no'
4.0,4.0,4.0,4.0,6.0,5.0,7.0,3.0,1.0,320.0,'no'
3.0,2.0,2.0,1.0,2.0,1.0,2.0,3.0,1.0,326.0,'no'
5.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,332.0,'no'
5.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,333.0,'no'
5.0,2.0,2.0,2.0,3.0,1.0,1.0,3.0,1.0,347.0,'no'
1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,348.0,'no'
5.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,351.0,'no'
3.0,4.0,5.0,3.0,7.0,3.0,4.0,6.0,1.0,353.0,'no'
4.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,356.0,'no'
3.0,2.0,2.0,1.0,4.0,3.0,2.0,1.0,1.0,363.0,'no'
4.0,4.0,4.0,2.0,2.0,3.0,2.0,1.0,1.0,364.0,'no'
1.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,370.0,'no'
4.0,3.0,2.0,1.0,3.0,1.0,2.0,1.0,1.0,371.0,'no'
5.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,374.0,'no'
3.0,1.0,1.0,4.0,3.0,1.0,2.0,2.0,1.0,379.0,'no'
5.0,3.0,4.0,1.0,4.0,1.0,3.0,1.0,1.0,380.0,'no'
3.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,1.0,383.0,'no'
3.0,3.0,2.0,2.0,3.0,1.0,1.0,2.0,3.0,386.0,'no'
5.0,3.0,3.0,2.0,3.0,1.0,3.0,1.0,1.0,388.0,'no'
2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,389.0,'no'
5.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,1.0,390.0,'no'
1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,391.0,'no'
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,394.0,'no'
1.0,2.0,3.0,1.0,2.0,1.0,2.0,1.0,1.0,395.0,'no'
4.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,398.0,'no'
3.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,399.0,'no'
1.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,400.0,'no'
5.0,3.0,3.0,1.0,2.0,1.0,2.0,1.0,1.0,403.0,'no'
3.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,404.0,'no'
1.0,2.0,1.0,3.0,2.0,1.0,1.0,2.0,1.0,405.0,'no'
4.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,407.0,'no'
2.0,3.0,2.0,2.0,2.0,2.0,3.0,1.0,1.0,409.0,'no'
5.0,1.0,2.0,1.0,2.0,1.0,3.0,1.0,1.0,414.0,'no'
3.0,3.0,2.0,6.0,3.0,3.0,3.0,5.0,1.0,416.0,'no'
5.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,419.0,'no'
2.0,3.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,420.0,'no'
3.0,2.0,2.0,3.0,2.0,3.0,3.0,1.0,1.0,421.0,'no'
4.0,3.0,3.0,1.0,2.0,1.0,3.0,3.0,1.0,423.0,'no'
5.0,3.0,6.0,1.0,2.0,1.0,1.0,1.0,1.0,427.0,'no'
1.0,3.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,431.0,'no'
5.0,1.0,1.0,3.0,4.0,1.0,3.0,2.0,1.0,432.0,'no'
