var_0000,var_0001,var_0002,var_0003,var_0004,var_0005,var_0006,id,outlier
0.467651,0.321584,0.76888,0.24663,0.838799,0.099737,0.29834,1,no
0.496412,0.220491,0.776032,0.316598,0.919973,0.089145,0.279479,2,no
0.519133,0.404464,0.768012,0.334978,0.801622,0.092369,0.271238,3,no
0.19965,0.547373,0.374284,0.362223,0.817017,0,0.177913,4,yes
0.847261,0.286361,0,0.217792,0,0.019135,1,5,no
0.426602,0.308603,0.624353,0.340791,0.86381,0.088582,0.297948,6,no
0.445962,0.463718,0.800347,0.106225,0.727184,0.009333,0.311253,7,no
0.486638,0.385096,0.624771,0.294843,0.786585,0.085833,0.326493,8,no
0.362655,0.535267,0,0.705246,0.695953,0.01237,0.318986,9,no
0.562075,0.409806,0.864021,0.303551,0.780486,0.086439,0.275085,10,no
0.49386,0.427778,0.789174,0.358414,0.79925,0.07037,0.250494,11,no
0.402394,0.208305,0.71002,0.256641,0.915953,0.096087,0.30562,12,no
0.616706,0.417846,0.836881,0.150769,0.646261,0.020472,0.420304,13,no
0.623678,0.563788,0.835736,0.087764,0.572773,0.017344,0.387784,14,no
0.535015,0.397489,0.763113,0.44094,0.804271,0.094147,0.268431,15,no
0.529479,0.454686,0.769156,0.425544,0.793505,0.097211,0.23253,16,no
0.421531,0.650093,0,0.50667,0.652083,0,0.27394,17,no
0.430381,0.302846,0.72988,0.355875,0.895808,0.104176,0.248962,18,no
0.429671,0.39351,0,0.434855,0.605774,0.072899,0.523039,19,no
0.483035,0.353694,0.651071,0.339537,0.826517,0.093621,0.301137,20,no
0.585827,0.384837,0.808408,0.174263,0.691666,0.029852,0.402815,21,no
0.584255,0.102349,0,0.476406,0.560152,0.126978,0.707716,22,no
0.572674,0.365964,0.82907,0.246656,0.7759,0.100644,0.32277,23,no
0.491406,0.43049,0.805946,0.268333,0.793941,0.08904,0.255114,24,no
0.599249,0.354126,0.35723,0.56598,0.753377,0.119625,0.390796,25,no
0.419383,0.392626,0.764496,0.34967,0.846275,0.05905,0.229676,26,no
0.487654,0.333677,0.775696,0.48082,0.878211,0.107866,0.228585,27,no
0.385864,0.610039,0,0.498986,0.687237,0,0.270773,28,no
0.486342,0.402825,0.779513,0.354946,0.82727,0.087477,0.239769,29,no
0.499565,0.423993,0.778626,0.313808,0.795349,0.087625,0.26179,30,no
0.451995,0.333998,0.781576,0.401271,0.882554,0.101233,0.227693,31,no
0.583325,0.437853,0.741143,0.376413,0.729836,0.088152,0.326315,32,no
0,1,0,0.010405,0.531241,0,0.085032,33,yes
